City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Homer,US,59.6425,-151.5483,26.47,80,1,3.44,clear sky
326,Lorengau,PG,-2.0226,147.2712,84.65,73,100,8.43,overcast clouds
327,Praia,CV,14.9215,-23.5087,73.98,70,66,13.35,broken clouds
328,Rovinj,HR,45.08,13.64,45.19,92,100,3.24,overcast clouds
329,Katsuura,JP,35.1333,140.3,51.82,89,100,6.49,overcast clouds
330,Matara,LK,5.9485,80.5353,72.3,88,65,7.74,broken clouds
331,Lamar,US,33.6668,-95.5836,73.56,68,1,18.41,clear sky
332,Sainte-Suzanne,RE,-20.9061,55.6089,79.02,94,90,4.61,light rain
333,Atherton,GB,53.5237,-2.4935,43.9,90,100,4.0,light rain
334,Bida,NG,9.0833,6.0167,76.44,28,21,2.91,few clouds
335,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,95,89,9.1,overcast clouds
336,Vangaindrano,MG,-23.35,47.6,75.02,92,100,2.82,overcast clouds
337,Baghdad,IQ,33.3406,44.4009,46.31,93,40,9.22,mist
338,Airai,TL,-8.9266,125.4092,60.22,97,100,4.29,overcast clouds
339,Kamsack,CA,51.5667,-101.9009,-9.17,90,85,11.27,overcast clouds
340,Dzilam Gonzalez,MX,21.2833,-88.9333,72.16,64,3,9.15,clear sky
341,Sibu,MY,2.3,111.8167,75.34,97,88,0.92,overcast clouds
342,Tadine,NC,-21.55,167.8833,82.78,67,40,5.82,light rain
